field,system,layer,train_n,validation_n,test_n,test_balanced_accuracy,test_macro_f1,validation_balanced_accuracy,validation_macro_f1
recommendation_response,answer_only,12,946,134,269,0.8535714285714285,0.8348524203069658,0.7057676232933965,0.687888198757764
recommendation_response,answer_only,13,946,134,269,0.9415674603174603,0.9230842546702249,0.8126219002507662,0.7846351655416265
recommendation_response,answer_only,14,946,134,269,0.9449404761904762,0.9386004956306248,0.8860406798551128,0.8734143049932523
recommendation_response,answer_only,15,946,134,269,0.9386904761904762,0.9339877300613497,0.9150181108943996,0.9081688596491229
recommendation_response,answer_only,16,946,134,269,0.9466269841269841,0.9466269841269841,0.9118138757314016,0.9152792413066386
recommendation_response,answer_only,17,946,134,269,0.9644179894179894,0.9644179894179894,0.9543048202842017,0.9620181405895691
recommendation_response,answer_only,18,946,134,269,0.9608134920634921,0.9641572285143238,0.9543048202842017,0.9620181405895691
recommendation_response,answer_only,19,946,134,269,0.9608134920634921,0.9641572285143238,0.9407913067706882,0.9520983770644169
recommendation_response,answer_only,20,946,134,269,0.9608134920634921,0.9641572285143238,0.9324324324324325,0.9512053018716773
recommendation_response,answer_only,21,946,134,269,0.9634589947089947,0.96852065466339,0.9459459459459459,0.9613275613275614
recommendation_response,answer_only,22,946,134,269,0.9634589947089947,0.96852065466339,0.9459459459459459,0.9613275613275614
recommendation_response,answer_only,23,946,134,269,0.9634589947089947,0.96852065466339,0.9407913067706882,0.9520983770644169
recommendation_response,answer_only,24,946,134,269,0.9634589947089947,0.96852065466339,0.9324324324324325,0.9512053018716773
recommendation_response,answer_only,25,946,134,269,0.9634589947089947,0.96852065466339,0.9324324324324325,0.9512053018716773
recommendation_response,answer_only,26,946,134,269,0.9634589947089947,0.96852065466339,0.9324324324324325,0.9512053018716773
recommendation_response,answer_only,27,946,134,269,0.9634589947089947,0.96852065466339,0.9324324324324325,0.9512053018716773
recommendation_response,answer_only,28,946,134,269,0.9697089947089947,0.9731179213857428,0.9324324324324325,0.9512053018716773
recommendation_response,answer_only,29,946,134,269,0.9697089947089947,0.9731179213857428,0.9324324324324325,0.9512053018716773
recommendation_response,answer_only,30,946,134,269,0.9697089947089947,0.9731179213857428,0.9324324324324325,0.9512053018716773
recommendation_response,answer_only,31,946,134,269,0.9697089947089947,0.9731179213857428,0.9324324324324325,0.9512053018716773
